config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
default,ADMS,BT,spawning,km,362.29,361.71,0.16
default,ADMS,BT,rearing,km,530.43,674.19,-21.32
default,ADMS,BT,lake_rearing,ha,14259.74,14290.48,-0.22
default,ADMS,BT,wetland_rearing,ha,926.32,919.98,0.69
default,ADMS,BT,rearing_stream,km,379.29,368.1,3.04
default,ADMS,BT,rearing_lake_centerline,km,0,0,NA
default,ADMS,BT,rearing_wetland_centerline,km,0,0,NA
default,ADMS,CH,spawning,km,277.61,277.61,0
default,ADMS,CH,rearing,km,351.86,308.23,14.16
default,ADMS,CH,lake_rearing,ha,13936.94,0,NA
default,ADMS,CH,wetland_rearing,ha,812,0,NA
default,ADMS,CH,rearing_stream,km,201.6,158.94,26.84
default,ADMS,CH,rearing_lake_centerline,km,0,0,NA
default,ADMS,CH,rearing_wetland_centerline,km,0,0,NA
default,ADMS,CO,spawning,km,312.69,310.98,0.55
default,ADMS,CO,rearing,km,361.25,351.19,2.86
default,ADMS,CO,lake_rearing,ha,14105.71,0,NA
default,ADMS,CO,wetland_rearing,ha,816.71,861.56,-5.21
default,ADMS,CO,rearing_stream,km,210.99,201.9,4.5
default,ADMS,CO,rearing_lake_centerline,km,0,0,NA
default,ADMS,CO,rearing_wetland_centerline,km,0,0,NA
default,ADMS,SK,spawning,km,91.93,85.7,7.27
default,ADMS,SK,rearing,km,229.85,229.85,0
default,ADMS,SK,lake_rearing,ha,13820.05,13820.05,0
default,ADMS,SK,wetland_rearing,ha,0,0,NA
default,ADMS,SK,rearing_stream,km,0,0,NA
default,ADMS,SK,rearing_lake_centerline,km,0,0,NA
default,ADMS,SK,rearing_wetland_centerline,km,0,0,NA
default,ADMS,RB,spawning,km,305.02,0,NA
default,ADMS,RB,rearing,km,436.93,0,NA
default,ADMS,RB,lake_rearing,ha,14128.54,0,NA
default,ADMS,RB,wetland_rearing,ha,834.85,0,NA
default,ADMS,RB,rearing_stream,km,302.36,0,NA
default,ADMS,RB,rearing_lake_centerline,km,0,0,NA
default,ADMS,RB,rearing_wetland_centerline,km,0,0,NA
default,BULK,BT,spawning,km,1871.53,1847.96,1.28
default,BULK,BT,rearing,km,3038.8,3062.85,-0.79
default,BULK,BT,lake_rearing,ha,4448.63,4739.73,-6.14
default,BULK,BT,wetland_rearing,ha,5901.49,5836.06,1.12
default,BULK,BT,rearing_stream,km,2587.45,2486.74,4.05
default,BULK,BT,rearing_lake_centerline,km,0,0,NA
default,BULK,BT,rearing_wetland_centerline,km,0,0,NA
default,BULK,CH,spawning,km,1264.09,1252.85,0.9
default,BULK,CH,rearing,km,2038.11,1739.82,17.14
default,BULK,CH,lake_rearing,ha,2871.94,0,NA
default,BULK,CH,wetland_rearing,ha,5546.32,0,NA
default,BULK,CH,rearing_stream,km,1587.96,1291.36,22.97
default,BULK,CH,rearing_lake_centerline,km,0,0,NA
default,BULK,CH,rearing_wetland_centerline,km,0,0,NA
default,BULK,CO,spawning,km,1813.55,1768.26,2.56
default,BULK,CO,rearing,km,2295.59,2221.93,3.32
default,BULK,CO,lake_rearing,ha,4213.19,0,NA
default,BULK,CO,wetland_rearing,ha,5567,6203.32,-10.26
default,BULK,CO,rearing_stream,km,1845.43,1773.28,4.07
default,BULK,CO,rearing_lake_centerline,km,0,0,NA
default,BULK,CO,rearing_wetland_centerline,km,0,0,NA
