config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
bcfishpass,ADMS,BT,spawning,km,362.29,361.71,0.16
bcfishpass,ADMS,BT,rearing,km,670.88,674.19,-0.49
bcfishpass,ADMS,BT,lake_rearing,ha,0,14290.48,-100
bcfishpass,ADMS,BT,wetland_rearing,ha,0,919.98,-100
bcfishpass,ADMS,BT,rearing_stream,km,365.73,368.1,-0.64
bcfishpass,ADMS,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,ADMS,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,ADMS,CH,spawning,km,277.52,277.61,-0.03
bcfishpass,ADMS,CH,rearing,km,307.89,308.23,-0.11
bcfishpass,ADMS,CH,lake_rearing,ha,0,0,NA
bcfishpass,ADMS,CH,wetland_rearing,ha,0,0,NA
bcfishpass,ADMS,CH,rearing_stream,km,157.64,158.94,-0.82
bcfishpass,ADMS,CH,rearing_lake_centerline,km,0,0,NA
bcfishpass,ADMS,CH,rearing_wetland_centerline,km,0,0,NA
bcfishpass,ADMS,CO,spawning,km,311,310.98,0.01
bcfishpass,ADMS,CO,rearing,km,350.84,351.19,-0.1
bcfishpass,ADMS,CO,lake_rearing,ha,0,0,NA
bcfishpass,ADMS,CO,wetland_rearing,ha,0,861.56,-100
bcfishpass,ADMS,CO,rearing_stream,km,200.59,201.9,-0.65
bcfishpass,ADMS,CO,rearing_lake_centerline,km,0,0,NA
bcfishpass,ADMS,CO,rearing_wetland_centerline,km,0,0,NA
bcfishpass,ADMS,SK,spawning,km,86.65,85.7,1.11
bcfishpass,ADMS,SK,rearing,km,229.85,229.85,0
bcfishpass,ADMS,SK,lake_rearing,ha,13820.05,13820.05,0
bcfishpass,ADMS,SK,wetland_rearing,ha,0,0,NA
bcfishpass,ADMS,SK,rearing_stream,km,0,0,NA
bcfishpass,ADMS,SK,rearing_lake_centerline,km,0,0,NA
bcfishpass,ADMS,SK,rearing_wetland_centerline,km,0,0,NA
bcfishpass,BULK,BT,spawning,km,1865.04,1847.96,0.92
bcfishpass,BULK,BT,rearing,km,3023.91,3062.85,-1.27
bcfishpass,BULK,BT,lake_rearing,ha,0,4739.73,-100
bcfishpass,BULK,BT,wetland_rearing,ha,0,5836.06,-100
bcfishpass,BULK,BT,rearing_stream,km,2453.35,2486.74,-1.34
bcfishpass,BULK,BT,rearing_lake_centerline,km,0,0,NA
bcfishpass,BULK,BT,rearing_wetland_centerline,km,0,0,NA
bcfishpass,BULK,CH,spawning,km,1260.26,1252.85,0.59
bcfishpass,BULK,CH,rearing,km,1730.07,1739.82,-0.56
bcfishpass,BULK,CH,lake_rearing,ha,0,0,NA
bcfishpass,BULK,CH,wetland_rearing,ha,0,0,NA
bcfishpass,BULK,CH,rearing_stream,km,1279.92,1291.36,-0.89
