wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
ADMS,BT,spawning,km,362.29,361.71,0.16
ADMS,BT,rearing,km,670.88,674.19,-0.49
ADMS,BT,lake_rearing,ha,0,14290.48,-100
ADMS,BT,wetland_rearing,ha,0,919.98,-100
ADMS,BT,rearing_stream,km,365.73,368.1,-0.64
ADMS,BT,rearing_lake_centerline,km,0,0,NA
ADMS,BT,rearing_wetland_centerline,km,0,0,NA
ADMS,CH,spawning,km,277.52,277.61,-0.03
ADMS,CH,rearing,km,307.89,308.23,-0.11
ADMS,CH,lake_rearing,ha,0,0,NA
ADMS,CH,wetland_rearing,ha,0,0,NA
ADMS,CH,rearing_stream,km,157.64,158.94,-0.82
ADMS,CH,rearing_lake_centerline,km,0,0,NA
ADMS,CH,rearing_wetland_centerline,km,0,0,NA
ADMS,CO,spawning,km,311,310.98,0.01
ADMS,CO,rearing,km,350.84,351.19,-0.1
ADMS,CO,lake_rearing,ha,0,0,NA
ADMS,CO,wetland_rearing,ha,0,861.56,-100
ADMS,CO,rearing_stream,km,200.59,201.9,-0.65
ADMS,CO,rearing_lake_centerline,km,0,0,NA
ADMS,CO,rearing_wetland_centerline,km,0,0,NA
ADMS,SK,spawning,km,86.65,85.7,1.11
ADMS,SK,rearing,km,229.85,229.85,0
ADMS,SK,lake_rearing,ha,13820.05,13820.05,0
ADMS,SK,wetland_rearing,ha,0,0,NA
ADMS,SK,rearing_stream,km,0,0,NA
ADMS,SK,rearing_lake_centerline,km,0,0,NA
ADMS,SK,rearing_wetland_centerline,km,0,0,NA
ALBN,CH,spawning,km,601.1,603.08,-0.33
ALBN,CH,rearing,km,744.39,744.36,0
ALBN,CH,lake_rearing,ha,0,0,NA
ALBN,CH,wetland_rearing,ha,0,0,NA
ALBN,CH,rearing_stream,km,501.53,505.11,-0.71
ALBN,CH,rearing_lake_centerline,km,0,0,NA
ALBN,CH,rearing_wetland_centerline,km,0,0,NA
ALBN,CM,spawning,km,800.2,800.19,0
ALBN,CM,rearing,km,0,0,NA
ALBN,CM,lake_rearing,ha,0,0,NA
ALBN,CM,wetland_rearing,ha,0,0,NA
ALBN,CM,rearing_stream,km,0,0,NA
ALBN,CM,rearing_lake_centerline,km,0,0,NA
ALBN,CM,rearing_wetland_centerline,km,0,0,NA
ALBN,CO,spawning,km,762.89,762.36,0.07
ALBN,CO,rearing,km,803.81,802.76,0.13
ALBN,CO,lake_rearing,ha,0,0,NA
ALBN,CO,wetland_rearing,ha,0,408.84,-100
ALBN,CO,rearing_stream,km,560.94,563.51,-0.46
ALBN,CO,rearing_lake_centerline,km,0,0,NA
ALBN,CO,rearing_wetland_centerline,km,0,0,NA
ALBN,SK,spawning,km,66.53,64.95,2.43
ALBN,SK,rearing,km,320.57,320.57,0
ALBN,SK,lake_rearing,ha,12986.14,12986.14,0
ALBN,SK,wetland_rearing,ha,0,0,NA
ALBN,SK,rearing_stream,km,0,0,NA
ALBN,SK,rearing_lake_centerline,km,0,0,NA
ALBN,SK,rearing_wetland_centerline,km,0,0,NA
ALBN,ST,spawning,km,643.73,645.47,-0.27
ALBN,ST,rearing,km,918.55,919.84,-0.14
ALBN,ST,lake_rearing,ha,0,0,NA
ALBN,ST,wetland_rearing,ha,0,93.81,-100
ALBN,ST,rearing_stream,km,671.91,676.87,-0.73
ALBN,ST,rearing_lake_centerline,km,0,0,NA
ALBN,ST,rearing_wetland_centerline,km,0,0,NA
ATNA,CH,spawning,km,119.66,120.92,-1.04
ATNA,CH,rearing,km,153.6,155.77,-1.39
ATNA,CH,lake_rearing,ha,0,0,NA
ATNA,CH,wetland_rearing,ha,0,0,NA
ATNA,CH,rearing_stream,km,80.92,83.86,-3.51
ATNA,CH,rearing_lake_centerline,km,0,0,NA
ATNA,CH,rearing_wetland_centerline,km,0,0,NA
ATNA,CM,spawning,km,177.07,179.4,-1.3
ATNA,CM,rearing,km,0,0,NA
ATNA,CM,lake_rearing,ha,0,0,NA
ATNA,CM,wetland_rearing,ha,0,0,NA
ATNA,CM,rearing_stream,km,0,0,NA
ATNA,CM,rearing_lake_centerline,km,0,0,NA
ATNA,CM,rearing_wetland_centerline,km,0,0,NA
ATNA,CO,spawning,km,159.86,162.79,-1.8
ATNA,CO,rearing,km,197.07,201.04,-1.97
ATNA,CO,lake_rearing,ha,0,0,NA
ATNA,CO,wetland_rearing,ha,0,479.86,-100
ATNA,CO,rearing_stream,km,124.39,129.14,-3.68
ATNA,CO,rearing_lake_centerline,km,0,0,NA
ATNA,CO,rearing_wetland_centerline,km,0,0,NA
ATNA,PK,spawning,km,177.07,179.4,-1.3
ATNA,PK,rearing,km,0,0,NA
ATNA,PK,lake_rearing,ha,0,0,NA
ATNA,PK,wetland_rearing,ha,0,0,NA
ATNA,PK,rearing_stream,km,0,0,NA
ATNA,PK,rearing_lake_centerline,km,0,0,NA
ATNA,PK,rearing_wetland_centerline,km,0,0,NA
ATNA,SK,spawning,km,25.15,23.67,6.25
ATNA,SK,rearing,km,181.84,181.84,0
ATNA,SK,lake_rearing,ha,7502.11,7502.11,0
ATNA,SK,wetland_rearing,ha,0,0,NA
ATNA,SK,rearing_stream,km,0,0,NA
ATNA,SK,rearing_lake_centerline,km,0,0,NA
ATNA,SK,rearing_wetland_centerline,km,0,0,NA
ATNA,ST,spawning,km,170.52,171.87,-0.79
ATNA,ST,rearing,km,297.57,298.83,-0.42
ATNA,ST,lake_rearing,ha,0,0,NA
ATNA,ST,wetland_rearing,ha,0,412.02,-100
ATNA,ST,rearing_stream,km,224.78,226.83,-0.9
ATNA,ST,rearing_lake_centerline,km,0,0,NA
ATNA,ST,rearing_wetland_centerline,km,0,0,NA
BABL,BT,spawning,km,898.34,890.16,0.92
BABL,BT,rearing,km,2322.63,2351.08,-1.21
BABL,BT,lake_rearing,ha,0,56515.11,-100
BABL,BT,wetland_rearing,ha,0,6043.72,-100
BABL,BT,rearing_stream,km,1661.5,1681.16,-1.17
BABL,BT,rearing_lake_centerline,km,0,0,NA
BABL,BT,rearing_wetland_centerline,km,0,0,NA
BABL,CH,spawning,km,353.26,348.82,1.27
BABL,CH,rearing,km,704.03,717.66,-1.9
BABL,CH,lake_rearing,ha,0,0,NA
BABL,CH,wetland_rearing,ha,0,0,NA
BABL,CH,rearing_stream,km,680.41,694.14,-1.98
BABL,CH,rearing_lake_centerline,km,0,0,NA
BABL,CH,rearing_wetland_centerline,km,0,0,NA
BABL,CO,spawning,km,815.23,805.15,1.25
BABL,CO,rearing,km,1288.36,1289.9,-0.12
BABL,CO,lake_rearing,ha,0,0,NA
BABL,CO,wetland_rearing,ha,0,6606.8,-100
BABL,CO,rearing_stream,km,1264.75,1266.39,-0.13
BABL,CO,rearing_lake_centerline,km,0,0,NA
BABL,CO,rearing_wetland_centerline,km,0,0,NA
BABL,SK,spawning,km,60.25,59.27,1.65
BABL,SK,rearing,km,941.63,941.63,0
BABL,SK,lake_rearing,ha,52449.98,52449.98,0
BABL,SK,wetland_rearing,ha,0,0,NA
BABL,SK,rearing_stream,km,0,0,NA
BABL,SK,rearing_lake_centerline,km,0,0,NA
BABL,SK,rearing_wetland_centerline,km,0,0,NA
BABL,ST,spawning,km,353.73,349.3,1.27
BABL,ST,rearing,km,908.81,924.29,-1.67
BABL,ST,lake_rearing,ha,0,0,NA
BABL,ST,wetland_rearing,ha,0,2603.62,-100
BABL,ST,rearing_stream,km,885.19,900.76,-1.73
BABL,ST,rearing_lake_centerline,km,0,0,NA
BABL,ST,rearing_wetland_centerline,km,0,0,NA
BABR,BT,spawning,km,968.8,960.3,0.89
BABR,BT,rearing,km,1586.92,1590.84,-0.25
