run_started_pdt,host,run_label,link_schema,bcfp_model_run_id,bcfp_model_version,bcfp_date_completed,notes
2026-05-02 21:00,m4,provincial_parity,fresh,?,?,?,bcfishpass-bundle provincial run; bcfp baseline not recorded at run time (pre-baselines.csv) — model_run_id 120 active 2026-04-28→2026-05-04 covers this run
2026-05-03 14:23,m4,provincial_default,fresh_default,120,v0.7.14-113-ga7373af,2026-04-28 23:17,default-bundle provincial run; bcfp baseline confirmed via bcfishpass.log query 2026-05-04
2026-05-04 09:44,m4,provincial_default_extrabreaks,fresh_default_extrabreaks,120,v0.7.14-113-ga7373af,2026-04-28 23:17,default_extrabreaks bundle (orphan-class breaks v0.28.0 branch); bcfp baseline same as 2026-05-03 run; expected to flip to build 121 on Tue 2026-05-05 ~20:00 PDT
2026-05-04 23:02,MacBook-Pro-2.local,provincial_default_rearbreaks,fresh_default_rearbreaks,120,v0.7.14-113-ga7373af,2026-04-28 23:17,auto-stamped at run_provincial_parity.R start
2026-05-07 16:10,runnervmeorf1,csv-sync-20260507,n/a,,v0.7.14-125-g6e9cf1c,2026-05-06T04:15:41Z,auto-append by csv-sync; head_sha=6e9cf1c
2026-05-13 05:01,runnervmeorf1,csv-sync-20260513,n/a,,v0.7.14-141-g05057f9,2026-05-13T03:55:54Z,auto-append by csv-sync; head_sha=05057f9
2026-05-13 16:39,MacBook-Pro-2.local,snapshot-20260513,n/a,,v0.7.14-141-g05057f9,2026-05-13T03:55:54Z,manual snapshot via data-raw/snapshot_bcfp.sh; head_sha=05057f9
2026-05-13 17:14,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-13 17:44,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-13 18:18,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-13 18:28,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-13 18:32,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-13 18:39,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-13 22:23,MacBook-Pro-2.local,snapshot-20260514,n/a,,v0.7.14-141-g05057f9,2026-05-13T03:55:54Z,manual snapshot via data-raw/snapshot_bcfp.sh; head_sha=05057f9
2026-05-13 22:36,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-13 22:45,MacBook-Pro-2.local,snapshot-20260514,n/a,,v0.7.14-141-g05057f9,2026-05-13T03:55:54Z,manual snapshot via data-raw/snapshot_bcfp.sh; head_sha=05057f9
2026-05-13 22:48,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-14 06:00,MacBook-Pro-2.local,provincial_parity,fresh,122,v0.7.14-141-g05057f9,2026-05-12 20:28,auto-stamped at run_provincial_parity.R start
2026-05-20 04:59,runnervmrw5os,csv-sync-20260520,n/a,,v0.7.15-14-ge12c1a5,2026-05-20T03:58:33Z,auto-append by csv-sync; head_sha=e12c1a5
2026-06-03 05:35,runnervm3jyl0,csv-sync-20260603,n/a,,v0.7.15-39-g3ca0886,2026-06-03T03:44:28Z,auto-append by csv-sync; head_sha=3ca0886
