"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"CARP","BT","spawning","km",1763.95,489.5,260.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing","km",3894.4,1085.42,258.8,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","lake_rearing","ha",11164.6,11285.72,-1.1,,"WITHIN_TOLERANCE",,"CLOSED",
"CARP","BT","wetland_rearing","ha",3133.62,2918.25,7.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing_stream","km",3205.83,813.27,294.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"CARP","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"CARP","KO","spawning","km",63.89,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing","km",360.47,,,,"NOT_APPLICABLE",,,
"CARP","KO","lake_rearing","ha",9065.58,,,,"NOT_APPLICABLE",,,
"CARP","KO","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_stream","km",0.48,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","RB","spawning","km",1721,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing","km",4127.87,,,,"NOT_APPLICABLE",,,
"CARP","RB","lake_rearing","ha",11164.6,,,,"NOT_APPLICABLE",,,
"CARP","RB","wetland_rearing","ha",3130.21,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_stream","km",3404.95,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINA","BT","spawning","km",4039.81,1265.89,219.1,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","rearing","km",8087.71,2859.31,182.9,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","lake_rearing","ha",174700.69,174580.98,0.1,,"WITHIN_TOLERANCE",,"CLOSED",
"FINA","BT","wetland_rearing","ha",6729.89,5886.41,14.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","rearing_stream","km",6862.84,1899.59,261.3,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINA","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FINA","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FINA","RB","spawning","km",3970.06,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing","km",8554.06,,,,"NOT_APPLICABLE",,,
"FINA","RB","lake_rearing","ha",174698.83,,,,"NOT_APPLICABLE",,,
"FINA","RB","wetland_rearing","ha",6724.46,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing_stream","km",7311.62,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINA","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINA","GR","spawning","km",1895.71,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing","km",2944.52,,,,"NOT_APPLICABLE",,,
"FINA","GR","lake_rearing","ha",174037.3,,,,"NOT_APPLICABLE",,,
"FINA","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing_stream","km",2308.82,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINA","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","BT","spawning","km",1521.99,1003.65,51.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","rearing","km",3414.61,2032.84,68,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","lake_rearing","ha",11308.66,11459.9,-1.3,,"WITHIN_TOLERANCE",,"CLOSED",
"FIRE","BT","wetland_rearing","ha",5129.76,5040.64,1.8,,"WITHIN_TOLERANCE",,"CLOSED",
"FIRE","BT","rearing_stream","km",2972.36,1578.06,88.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FIRE","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FIRE","RB","spawning","km",1070.29,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing","km",2695.12,,,,"NOT_APPLICABLE",,,
"FIRE","RB","lake_rearing","ha",4970.12,,,,"NOT_APPLICABLE",,,
"FIRE","RB","wetland_rearing","ha",3331.59,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_stream","km",2305.05,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","spawning","km",536.71,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing","km",867.01,,,,"NOT_APPLICABLE",,,
"FIRE","GR","lake_rearing","ha",4675.65,,,,"NOT_APPLICABLE",,,
"FIRE","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_stream","km",630.24,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"INGR","BT","spawning","km",2257.17,1102.67,104.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
