"wsg","species","habitat_type","unit","link_value","ref_value","diff_pct","taxonomy_id","class","mechanism","status","refs"
"CARP","BT","spawning","km",502.37,489.5,2.6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing","km",1026.27,1085.42,-5.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","lake_rearing","ha",11079.89,11285.72,-1.8,,"WITHIN_TOLERANCE",,"CLOSED",
"CARP","BT","wetland_rearing","ha",2958.41,2918.25,1.4,,"WITHIN_TOLERANCE",,"CLOSED",
"CARP","BT","rearing_stream","km",948.93,813.27,16.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"CARP","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"CARP","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"CARP","KO","spawning","km",64.12,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing","km",359.99,,,,"NOT_APPLICABLE",,,
"CARP","KO","lake_rearing","ha",9065.58,,,,"NOT_APPLICABLE",,,
"CARP","KO","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_stream","km",0,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","KO","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","RB","spawning","km",502.37,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing","km",1107.84,,,,"NOT_APPLICABLE",,,
"CARP","RB","lake_rearing","ha",11079.89,,,,"NOT_APPLICABLE",,,
"CARP","RB","wetland_rearing","ha",2958.41,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_stream","km",1030.51,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"CARP","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINL","BT","spawning","km",1365.64,1356.52,0.7,,"WITHIN_TOLERANCE",,"CLOSED",
"FINL","BT","rearing","km",2107.58,2083.16,1.2,,"WITHIN_TOLERANCE",,"CLOSED",
"FINL","BT","lake_rearing","ha",497.35,666.55,-25.4,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINL","BT","wetland_rearing","ha",3285.78,3303.43,-0.5,,"WITHIN_TOLERANCE",,"CLOSED",
"FINL","BT","rearing_stream","km",1735.09,1672.38,3.7,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FINL","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FINL","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FINL","RB","spawning","km",1365.64,,,,"NOT_APPLICABLE",,,
"FINL","RB","rearing","km",2041.94,,,,"NOT_APPLICABLE",,,
"FINL","RB","lake_rearing","ha",497.35,,,,"NOT_APPLICABLE",,,
"FINL","RB","wetland_rearing","ha",3285.78,,,,"NOT_APPLICABLE",,,
"FINL","RB","rearing_stream","km",1669.73,,,,"NOT_APPLICABLE",,,
"FINL","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINL","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINL","GR","spawning","km",802.95,,,,"NOT_APPLICABLE",,,
"FINL","GR","rearing","km",1049.56,,,,"NOT_APPLICABLE",,,
"FINL","GR","lake_rearing","ha",303.17,,,,"NOT_APPLICABLE",,,
"FINL","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"FINL","GR","rearing_stream","km",681.6,,,,"NOT_APPLICABLE",,,
"FINL","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FINL","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","BT","spawning","km",1012.79,1003.65,0.9,,"WITHIN_TOLERANCE",,"CLOSED",
"FIRE","BT","rearing","km",1911.07,2032.84,-6,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","lake_rearing","ha",11302.73,11459.9,-1.4,,"WITHIN_TOLERANCE",,"CLOSED",
"FIRE","BT","wetland_rearing","ha",5081.46,5040.64,0.8,,"WITHIN_TOLERANCE",,"CLOSED",
"FIRE","BT","rearing_stream","km",1676.36,1578.06,6.2,,"UNEXPLAINED",,"NEEDS_INVESTIGATION",
"FIRE","BT","rearing_lake_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FIRE","BT","rearing_wetland_centerline","km",0,0,,,"NOT_APPLICABLE",,,
"FIRE","RB","spawning","km",583.17,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing","km",1098.55,,,,"NOT_APPLICABLE",,,
"FIRE","RB","lake_rearing","ha",4964.19,,,,"NOT_APPLICABLE",,,
"FIRE","RB","wetland_rearing","ha",2771.15,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_stream","km",928.79,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","RB","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","spawning","km",327.43,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing","km",464.53,,,,"NOT_APPLICABLE",,,
"FIRE","GR","lake_rearing","ha",4670.35,,,,"NOT_APPLICABLE",,,
"FIRE","GR","wetland_rearing","ha",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_stream","km",296.11,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_lake_centerline","km",0,,,,"NOT_APPLICABLE",,,
"FIRE","GR","rearing_wetland_centerline","km",0,,,,"NOT_APPLICABLE",,,
