wsg,host,elapsed_s,rows,status
SETN,Allans-MacBook-Pro,278.1,49,ok
ALBN,Allans-MacBook-Pro,93.9,35,ok
LDEN,Allans-MacBook-Pro,83.1,35,ok
BONP,Allans-MacBook-Pro,87.2,35,ok
BRKS,Allans-MacBook-Pro,84.4,49,ok
CARR,Allans-MacBook-Pro,72.9,28,ok
CLRH,Allans-MacBook-Pro,104.1,14,ok
COAL,Allans-MacBook-Pro,81.5,7,ok
CRKD,Allans-MacBook-Pro,41.7,7,ok
DUNC,Allans-MacBook-Pro,89.3,14,ok
ELKR,Allans-MacBook-Pro,156.4,14,ok
FONT,Allans-MacBook-Pro,40.6,7,ok
GATA,Allans-MacBook-Pro,80.5,7,ok
GOLD,Allans-MacBook-Pro,72.2,35,ok
HOMA,Allans-MacBook-Pro,132.5,35,ok
INGR,Allans-MacBook-Pro,98.2,7,ok
KETL,Allans-MacBook-Pro,111.7,7,ok
KITL,Allans-MacBook-Pro,111.8,42,ok
KITR,Allans-MacBook-Pro,124.1,49,ok
KOTR,Allans-MacBook-Pro,128,14,ok
LBTN,Allans-MacBook-Pro,50.8,7,ok
LCHR,Allans-MacBook-Pro,74.4,21,ok
LILL,Allans-MacBook-Pro,144.3,42,ok
LNTH,Allans-MacBook-Pro,113.6,35,ok
LPRO,Allans-MacBook-Pro,41.2,7,ok
LSTR,Allans-MacBook-Pro,74,21,ok
MDEA,Allans-MacBook-Pro,59.2,7,ok
MFRA,Allans-MacBook-Pro,56.1,7,ok
MORR,Allans-MacBook-Pro,124.8,42,ok
MSTR,Allans-MacBook-Pro,118.7,14,ok
NASR,Allans-MacBook-Pro,71.4,35,ok
NECR,Allans-MacBook-Pro,89.1,28,ok
NICL,Allans-MacBook-Pro,53.6,14,ok
PARA,Allans-MacBook-Pro,57.8,7,ok
QUES,Allans-MacBook-Pro,116.5,35,ok
SAJR,Allans-MacBook-Pro,45,21,ok
SHER,Allans-MacBook-Pro,101.1,21,ok
SMAR,Allans-MacBook-Pro,127.9,14,ok
SPAT,Allans-MacBook-Pro,72.6,7,ok
SUST,Allans-MacBook-Pro,123,42,ok
TAKL,Allans-MacBook-Pro,62.4,21,ok
TATR,Allans-MacBook-Pro,99.2,14,ok
TOOD,Allans-MacBook-Pro,139.1,7,ok
TSIT,Allans-MacBook-Pro,67.7,35,ok
UBTN,Allans-MacBook-Pro,48.9,7,ok
UJER,Allans-MacBook-Pro,45.3,7,ok
UKEC,Allans-MacBook-Pro,56.1,7,ok
UNUR,Allans-MacBook-Pro,55.4,14,ok
USKE,Allans-MacBook-Pro,119.3,35,ok
UTRE,Allans-MacBook-Pro,44.7,14,ok
COWN,Allans-MacBook-Pro,74.6,42,ok
CHIR,Allans-MacBook-Pro,62.4,21,ok
NARC,Allans-MacBook-Pro,70.4,21,ok
KTSU,Allans-MacBook-Pro,59.2,35,ok
