"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"COWN","BT",19564,99.25,146,"REAR;MODELLED | ACCESS;MODELLED",32
"COWN","CH",19564,99.74,51,"ACCESS;NONE | SPAWN;NONE",38
"COWN","CM",19564,99.06,183,"ACCESS;NONE | SPAWN;NONE",169
"COWN","CO",19564,99.34,129,"ACCESS;NONE | SPAWN;NONE",40
"COWN","PK",19564,99.95,9,"ACCESS;MODELLED;INTERMITTENT | ",3
"COWN","ST",19564,99.83,33,"ACCESS;NONE | SPAWN;NONE",10
"TSIT","CH",15898,99.94,9,"ACCESS;MODELLED | ACCESS;REMEDIATED",2
"TSIT","CM",15898,99.96,6,"SPAWN | ",3
"TSIT","CO",15898,99.95,8,"ACCESS;MODELLED | ACCESS;REMEDIATED",2
"TSIT","PK",15898,99.94,9,"ACCESS;NONE | SPAWN;NONE",3
"TSIT","ST",15898,99.76,38,"REAR;MODELLED | ACCESS;MODELLED",7
