"wsg","species","total_segs","match_pct","n_diffs","top_pattern","top_pattern_count"
"SETN","BT",78820,99.67,257,"REAR;MODELLED | ACCESS;MODELLED",60
"SETN","CH",78820,94.73,4150,"ACCESS;DAM | ",1708
"SETN","CM",78820,94.81,4090,"ACCESS;DAM | ",1585
"SETN","CO",78820,94.76,4131,"ACCESS;DAM | ",1434
"SETN","PK",78820,94.8,4098,"ACCESS;DAM | ",1585
"SETN","SK",78820,94.71,4172,"ACCESS;DAM | ",2433
"SETN","ST",78820,93.65,5008,"ACCESS;DAM | ",1751
"LFRA","BT",27395,97.92,571,"ACCESS;ASSESSED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",100
"LFRA","CH",27395,99.66,94,"SPAWN;MODELLED | REAR;MODELLED",29
"LFRA","CM",27395,99.55,123,"ACCESS;NONE | SPAWN;NONE",33
"LFRA","CO",27395,98.09,523,"ACCESS;DAM;INTERMITTENT | SPAWN;DAM;INTERMITTENT",124
"LFRA","PK",27395,99.78,60,"SPAWN;MODELLED | SPAWN;NONE",22
"LFRA","SK",27395,99.5,138,"ACCESS;NONE | SPAWN;NONE",87
"LFRA","ST",27395,99.49,139,"SPAWN;MODELLED | REAR;MODELLED",29
"FRCN","BT",29342,99.5,146,"REAR;NONE | ACCESS;NONE",46
"FRCN","CH",29342,99.61,114,"ACCESS;NONE | SPAWN;NONE",89
"FRCN","CM",29342,99.9,29,"ACCESS;NONE | SPAWN;NONE",19
"FRCN","CO",29342,99.82,54,"ACCESS;NONE | SPAWN;NONE",32
"FRCN","PK",29342,99.86,40,"ACCESS;NONE | SPAWN;NONE",34
"FRCN","SK",29342,99.84,48,"ACCESS;NONE | SPAWN;NONE",42
"FRCN","ST",29342,99.71,86,"REAR;NONE | ACCESS;NONE",24
"KISP","BT",30831,99.58,131,"REAR;NONE | ACCESS;NONE",31
"KISP","CH",30831,99.81,60,"ACCESS;NONE | SPAWN;NONE",31
"KISP","CM",30831,99.92,25,"ACCESS;NONE | SPAWN;NONE",12
"KISP","CO",30831,99.59,126,"ACCESS;NONE | SPAWN;NONE",47
"KISP","PK",30831,99.82,55,"ACCESS;NONE | SPAWN;NONE",39
"KISP","SK",30831,99.46,166,"ACCESS;NONE | SPAWN;NONE",146
"KISP","ST",30831,99.68,98,"ACCESS;NONE | SPAWN;NONE",40
"LSKE","BT",37789,99.44,211,"REAR;NONE | ACCESS;NONE",55
"LSKE","CH",37789,99.8,77,"ACCESS;NONE | SPAWN;NONE",27
"LSKE","CM",37789,99.7,114,"ACCESS;NONE | SPAWN;NONE",77
"LSKE","CO",37789,99.56,166,"ACCESS;NONE | SPAWN;NONE",31
"LSKE","PK",37789,99.66,130,"ACCESS;NONE | SPAWN;NONE",78
"LSKE","SK",37789,99.66,130,"ACCESS;NONE | SPAWN;NONE",88
"LSKE","ST",37789,99.79,79,"REAR;NONE | ACCESS;NONE",30
"HARR","BT",17873,99.35,117,"REAR;NONE | ACCESS;NONE",21
"HARR","CH",17873,99.9,18,"ACCESS;DAM | SPAWN;DAM",9
"HARR","CM",17873,99.6,72,"ACCESS;NONE | SPAWN;NONE",41
"HARR","CO",17873,99.5,89,"ACCESS;NONE | SPAWN;NONE",37
"HARR","PK",17873,99.9,18,"ACCESS;MODELLED | SPAWN;MODELLED",6
"HARR","SK",17873,99.71,51,"ACCESS;NONE | SPAWN;NONE",33
"HARR","ST",17873,99.82,33,"ACCESS;NONE | REAR;NONE",5
"KLUM","BT",31572,99.53,149," | REAR;NONE",18
"KLUM","CH",31572,99.88,37,"REAR;NONE | ACCESS;NONE",6
"KLUM","CM",31572,99.97,9,"ACCESS;NONE;INTERMITTENT | ",4
"KLUM","CO",31572,99.69,98,"ACCESS;NONE | SPAWN;NONE",33
"KLUM","PK",31572,99.94,20," | SPAWN",4
"KLUM","SK",31572,99.41,186,"ACCESS;NONE | SPAWN;NONE",145
"KLUM","ST",31572,99.81,60,"REAR;NONE | SPAWN;NONE",12
"BULK","BT",42937,99.15,366,"ACCESS;ASSESSED | REAR;ASSESSED",80
"BULK","CH",42937,99.72,120,"ACCESS;ASSESSED | REAR;ASSESSED",13
"BULK","CO",42937,99.27,315,"REAR;NONE | SPAWN;NONE",58
"BULK","PK",42937,99.83,71,"ACCESS;NONE | ACCESS;REMEDIATED",11
"BULK","SK",42937,99.69,133,"ACCESS;NONE | SPAWN;NONE",50
"BULK","ST",42937,99.55,193,"ACCESS;ASSESSED | SPAWN;ASSESSED",21
"BBAR","BT",23886,99.84,38,"REAR;NONE | ACCESS;NONE",11
"BBAR","CH",23886,99.97,6,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","CO",23886,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"BBAR","SK",23886,99.98,4,"ACCESS;NONE;INTERMITTENT | ",3
"MORR","BT",29084,99.53,137,"REAR;NONE | ACCESS;NONE",36
"MORR","CH",29084,99.85,45,"ACCESS;NONE | SPAWN;NONE",11
"MORR","CO",29084,99.23,224,"REAR;NONE | SPAWN;NONE",101
"MORR","PK",29084,99.88,35,"ACCESS;NONE | SPAWN;NONE",20
"MORR","SK",29084,99.17,241,"REAR;NONE | SPAWN;NONE",132
"MORR","ST",29084,99.53,136,"ACCESS;NONE | SPAWN;NONE",50
"MORK","BT",52764,99.56,230,"REAR;MODELLED | ACCESS;MODELLED",56
"MORK","CH",52764,99.74,137,"ACCESS;NONE | SPAWN;NONE",69
"COTR","BT",28773,99.69,88,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",21
"COTR","CH",28773,99.71,83,"ACCESS;NONE | SPAWN;NONE",50
"COTR","CO",28773,99.66,98,"REAR;MODELLED | ACCESS;MODELLED",48
"COTR","PK",28773,99.91,27,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",20
"UFRA","BT",35420,98.55,513,"ACCESS;ASSESSED;INTERMITTENT | ACCESS;MODELLED;INTERMITTENT",69
"UFRA","CH",35420,99.5,178,"SPAWN;ASSESSED | SPAWN;NONE",46
"FRAN","BT",40349,99.72,112,"ACCESS;ASSESSED | REAR;ASSESSED",19
"FRAN","CH",40349,99.29,286,"ACCESS;NONE | SPAWN;NONE",106
"FRAN","SK",40349,99.65,143,"ACCESS;NONE | SPAWN;NONE",96
"BOWR","BT",20129,98.92,217,"ACCESS;MODELLED;INTERMITTENT | ACCESS;ASSESSED;INTERMITTENT",47
"BOWR","CH",20129,99.14,173,"ACCESS;NONE | SPAWN;NONE",82
"BOWR","CO",20129,99.46,108,"ACCESS;MODELLED | ACCESS;ASSESSED",31
"BOWR","SK",20129,99.04,193,"ACCESS;NONE | SPAWN;NONE",106
"DOGC","BT",13092,99.76,31,"REAR;NONE | ACCESS;NONE",9
"DOGC","CH",13092,99.97,4,"ACCESS;NONE | ",1
"DOGC","CO",13092,99.95,6,"REAR;NONE | ACCESS;NONE",2
"DOGC","SK",13092,99.94,8,"ACCESS;NONE | SPAWN;NONE",5
"ZYMO","BT",23970,99.29,169," | ACCESS;MODELLED",29
"ZYMO","CH",23970,99.69,75," | ACCESS;NONE",19
"ZYMO","CO",23970,99.62,90," | ACCESS;NONE",18
"ZYMO","ST",23970,99.7,71,"REAR;NONE | ACCESS;NONE",23
"NECR","BT",27698,99.87,36,"SPAWN;MODELLED | REAR;MODELLED",11
"NECR","CH",27698,99.9,29,"SPAWN;ASSESSED | REAR;ASSESSED",9
"NECR","CO",27698,99.71,80,"REAR;MODELLED | ACCESS;MODELLED",36
"NECR","SK",27698,99.96,10,"ACCESS;NONE | ",5
"NARC","BT",19248,99.61,76,"REAR;MODELLED | ACCESS;MODELLED",24
"NARC","CH",19248,99.53,90,"ACCESS;MODELLED | SPAWN;MODELLED",74
"NARC","PK",19248,99.88,24,"SPAWN;MODELLED | ACCESS;MODELLED",13
"WILL","BT",18751,98.72,240,"ACCESS;ASSESSED | REAR;ASSESSED",70
"WILL","CH",18751,99.49,95,"REAR;ASSESSED | ACCESS;ASSESSED",37
"WILL","CO",18751,99.13,163,"REAR;ASSESSED | ACCESS;ASSESSED",29
"LCHL","BT",19597,99.47,104,"ACCESS;MODELLED;INTERMITTENT | ACCESS;REMEDIATED;INTERMITTENT",23
"LCHL","CH",19597,99.76,47,"ACCESS;NONE | SPAWN;NONE",13
"LCHL","CO",19597,99.55,88,"REAR;MODELLED | ACCESS;MODELLED",38
"TABR","BT",12673,99.31,87,"ACCESS;ASSESSED | REAR;ASSESSED",31
"TABR","CH",12673,99.79,26,"ACCESS;ASSESSED | REAR;ASSESSED",16
"PARS","BT",43591,98.76,542,"REAR;DAM | ACCESS;DAM",84
"TWAC","BT",12291,99.92,10,"REAR;MODELLED | ACCESS;MODELLED",2
"TWAC","CH",12291,100,0,NA,NA
"PCEA","BT",37914,99.1,342,"REAR;DAM | ACCESS;DAM",174
"MFRA","CH",8799,99.95,4,"ACCESS;NONE;INTERMITTENT | ",3
"NATR","BT",32315,98.87,364,"REAR | ",49
"PINE","BT",42813,68.02,13690," | ACCESS;ASSESSED;INTERMITTENT",3200
"PARA","BT",17052,99.11,152,"ACCESS;MODELLED | REAR;MODELLED",31
"UPCE","BT",23209,99.57,100,"REAR;MODELLED | ACCESS;MODELLED",19
"LSAL","CH",11462,99.39,70,"ACCESS;NONE | SPAWN;NONE",39
"CRKD","BT",20925,98.73,266,"REAR;MODELLED | REAR;DAM",74
"CARP","BT",16353,99.05,155,"ACCESS;MODELLED;INTERMITTENT | ACCESS;DAM;INTERMITTENT",26
"LPCE","BT",0,NA,NA,NA,NA
