modelled_crossing_id,structure,watershed_group_code,reviewer_name,review_date,source,notes
100151,OBS,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,NA
100553,NONE,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,no road
101833,OBS,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,NA
102295,OBS,ADMS,PK,2021-01-01,Bing/Google/ESRI imagery,NA
200073,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
200080,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
200141,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
200223,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
200772,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201136,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201160,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201772,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
201921,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
201927,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
202405,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
202554,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
202812,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
203158,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
203306,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
203655,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
204057,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
204059,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
205052,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
205157,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
205297,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
205382,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
205573,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
205615,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
206263,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
206309,OBS,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,NA
206560,NONE,ALBN,OB,2021-01-01,Bing/Google/ESRI imagery,no road/structure
500499,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
500555,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
500623,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
500624,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
500646,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
500808,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
501268,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,second opinion
501692,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502157,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502159,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502170,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502182,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502187,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502449,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
502595,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502711,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502713,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502716,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502726,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502786,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502789,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
502975,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
503204,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
503341,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
503588,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
503611,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
503887,OBS,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,NA
504214,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
504224,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
504327,NONE,BABL,NMW,2021-01-01,Bing/Google/ESRI imagery,no road/structure
600318,NONE,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,no road
600370,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600371,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600379,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600387,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600459,NONE,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,no road
600468,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600557,NONE,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,no road
600564,NONE,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,no road
600637,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600645,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600712,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600798,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600801,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600827,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
600849,OBS,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
601026,NONE,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,no road
601064,NONE,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,no road
601073,NONE,BABR,OB,2021-01-01,Bing/Google/ESRI imagery,no road
800528,OBS,BBAR,OB,2021-01-01,Bing/Google/ESRI imagery,NA
